Landslide_,Elevation_,Aspect_Pla,Faults_dis,lithology_,LULC_Band_,NDVI_Band_,PlanCurve_,ProfileCur,Rainfall_B,Roads_dis_,Slope_Band,SoilGroup_,SoilMoistu,STI_Band_1,TWI_Band_1,Water_dis_
1,0.176453488,0.0229741,0.101208,0,0,0.481004,0.478383,0.459562,0.565269,0,0.527141,0.166666667,0.483381,0,0.133928,0.0113453
1,0.175145349,0.0428848,0.101208,0,0,0.475363,0.468992,0.491429,0.565269,0,0.491879,0.166666667,0.483381,0,0.178909,0.0113453
1,0.174418605,0.0428848,0.101208,0,0,0.484362,0.468992,0.491429,0.565269,0,0.491879,0.166666667,0.483381,0,0.178909,0.0113453
1,0.173255814,0.0573851,0.101208,0,0,0.484362,0.477557,0.477237,0.565269,0,0.512554,0.166666667,0.483381,0,0.138754,0.0113453
1,0.169622093,0.107162,0.101208,0,0,0.490302,0.482131,0.49917,0.565269,0,0.565178,0.166666667,0.483381,0.00355836,0.235389,0.0113453
1,0.150581395,0.155545,0.1149,0,1,0.491734,0.473744,0.505648,0.565269,0,0.473838,0.166666667,0.483381,0,0.14793,0
1,0.150290698,0.191902,0.108007,0,1,0.493934,0.450772,0.503244,0.565269,0,0.495984,0.166666667,0.483381,0,0.152054,0
1,0.1875,0.250896,0.0911493,0,1,0.510116,0.503627,0.497793,0.565269,0.00767507,0.440707,0.166666667,0.483381,0,0.1694,0.00802237
1,0.210465116,0.599943,0.0608182,0,1,0.491489,0.531209,0.25773,0.565269,0.0108542,0.817584,0.166666667,0.483381,0,0.0520947,0.0113453
1,0.259883721,0.62616,0.052805,0,1,0.499449,0.503497,0.484601,0.565269,0.0485414,0.393362,0.166666667,0.301969,0,0.149444,0.0320895
1,0.432848837,0.0647774,0.36786,0.5,0,0.452095,0.476089,0.489171,0.35626,0.0383753,0.354407,0.166666667,0.562165,0,0.169571,0.0401118
1,0.392587209,0.572299,0.399809,0.5,1,0.442054,0.522129,0.480964,0.35626,0.017162,0.293187,0.166666667,0.606776,0,0.175773,0.0320895
1,0.381104651,0.511391,0.410206,0.5,1,0.446517,0.486752,0.497578,0.35626,0.00767507,0.261534,0.166666667,0.549522,0,0.284582,0.0179386
